,Antiguedad del negocio,¿Cuántos productos aproximadamente maneja en su tienda?,En promedio ¿cada cuanto realiza pedidos a sus proveedores o compra sus productos? (Use la cifra más cercana),¿Qué forma de pago permite a sus clientes?,"¿Ha participado en algún plan de colaboración con otras tiendas o empresas? 
(por ejemplo, esfuerzos conjuntos de marketing, compras al por mayor, servicios de entrega compartidos)",En los últimos seis meses ¿ha implementado alguna tecnología digital en su negocio?,"En caso de una respuesta afirmativa a la pregunta anterior, especifique los tipos de tecnología implementados",¿A través de cuáles de los siguientes medios se comunicas con los proveedores?,¿A través de cuáles de los siguientes medios recibes pedidos de los clientes?,¿Cuál es su grado de satisfacción con las soluciones tecnológicas que ha implantado en su tienda?,¿Consideran necesarias las iniciativas de los proveedores para ayudar a las tiendas a implantar soluciones tecnológicas de forma eficaz? ,¿Considera necesario el apoyo gubernamental para ayudar a las tiendas a implantar soluciones tecnológicas de forma eficaz? ,"¿Cuántos clientes, en promedio, recibe en un día entre semana?","¿Cuántos clientes, en promedio, recibe en un día del fin de semana?","En una escala de 1 a 10, ¿cómo evaluaría sus esfuerzos para reducir su impacto ambiental?"
17,Entre 1 y 3 años,25,3 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, Transferencia ",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta",Visitas personales,"Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,15.0,34.0,4
18,Entre 6 meses y un año,25,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Redes sociales (Instagram, X, entre otras)",Visitas personales,Visitas personales,Muy satisfecho,Sí,No,15.0,30.0,7
19,Más de 5 años,2,1 vez al mes,"Tarjeta de debito, Tarjeta de crédito",Sí,Sí,"Terminal para el pago con tarjeta, EDELVIVES","Visitas personales, Llamadas telefónicas",Visitas personales,Muy satisfecho,No,Sí,15.0,1.0,5
20,Más de 5 años,40,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Llamadas telefónicas, Mensajes de texto","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,Sí,100.0,20.0,10
21,Entre 3 y 5 años,800,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajes de texto, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros), Páginas web","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,No,No,7.0,3.0,8
22,Entre 3 y 5 años,7,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Redes sociales (Facebook, Instagram, otros)","Visitas personales, Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,Sí,No,10.0,6.0,3
23,Entre 1 y 3 años,8,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Llamadas telefónicas, Correo electrónico, Páginas web, Software o plataformas compartidas","Visitas personales, Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros), Páginas web",Muy satisfecho,Sí,No,7.0,4.0,5
24,Más de 5 años,150,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,Sí,Terminal para el pago con tarjeta,"Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,100.0,200.0,5
25,Más de 5 años,60,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,Terminal para el pago con tarjeta,"Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,No,30.0,150.0,1
26,Más de 5 años,7,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Terminal para el pago con tarjeta","Redes sociales (Facebook, Instagram, otros)","Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,Sí,No,1.0,2.0,7
27,Entre 0 y 6 meses,300,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)","Visitas personales, Mensajes de texto, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,6.0,15.0,1
28,Entre 3 y 5 años,1000,2 veces a la semana,"Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Mensajes de texto, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,10.0,10.0,4
29,Más de 5 años,1,2 veces al mes,CoDi/Mercado Pago/Paypal/otras pasarelas de pago,Sí,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta",Visitas personales,Visitas personales,Muy satisfecho,No,Sí,35.0,1.0,10
30,Entre 1 y 3 años,10,1 vez al mes,"Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta",Visitas personales,Visitas personales,Muy satisfecho,Sí,Sí,25.0,25.0,10
31,Más de 5 años,6,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,Sí,No,75.0,35.0,8
32,Entre 1 y 3 años,4,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros), Páginas web","Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,No,No,3.0,1.0,7
33,Más de 5 años,4,No realiza pedidos,Efectivo,No,No,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea",No hay proveedores,"Visitas personales, Llamadas telefónicas, Mensajes de texto",Algo satisfecho,No,Sí,25.0,25.0,4
34,Entre 3 y 5 años,3000,2 veces al mes,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,Sistema contable,Llamadas telefónicas,"Visitas personales, Llamadas telefónicas",Algo insatisfecho,Sí,No,80.0,50.0,8
35,Entre 3 y 5 años,100,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,Terminal para el pago con tarjeta,"Visitas personales, Mensajes de texto","Visitas personales, ",Muy satisfecho,Sí,Sí,60.0,60.0,6
36,Más de 5 años,50,1 vez al mes,"Efectivo, Tarjeta de debito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,Terminal para el pago con tarjeta,"Llamadas telefónicas, Mensajes de texto","Visitas personales, Llamadas telefónicas, Mensajes de texto, Redes sociales (Facebook, Instagram, otros), Páginas web",Muy satisfecho,No,No,30.0,50.0,8
37,Más de 5 años,100,1 vez al mes,Efectivo,No,No,Terminal para el pago con tarjeta,Visitas personales,Visitas personales,Muy satisfecho,Sí,No,30.0,50.0,5
38,Más de 5 años,70,2 veces al mes,Efectivo,Sí,No,Terminal para el pago con tarjeta,"Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy satisfecho,Sí,Sí,70.0,70.0,8
39,Más de 5 años,10,1 vez al día,Efectivo,No,No,Na,Visitas personales,Visitas personales,Algo satisfecho,No,Sí,80.0,80.0,7
40,Más de 5 años,25,2 veces al mes,Efectivo,No,No,Na,"Visitas personales, Llamadas telefónicas",Visitas personales,Algo satisfecho,No,No,10.0,20.0,8
41,Entre 3 y 5 años,2,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,Sí,Terminal para el pago con tarjeta,"Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,13.0,13.0,8
42,Entre 3 y 5 años,1,1 vez a la semana,Efectivo,No,No,Terminal para el pago con tarjeta,Llamadas telefónicas,Visitas personales,Muy insatisfecho,Sí,Sí,30.0,40.0,9
43,Entre 1 y 3 años,3,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas","Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,12.0,10.0,5
44,Más de 5 años,500,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta",Correo electrónico,"Visitas personales, Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros), Páginas web",Algo satisfecho,Sí,No,13.0,1.0,8
45,Más de 5 años,4,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta",Visitas personales,"Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Páginas web",Muy satisfecho,No,Sí,10.0,10.0,8
46,Entre 0 y 6 meses,2,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta",Visitas personales,Visitas personales,Muy satisfecho,No,Sí,24.0,15.0,8
47,Más de 5 años,5,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Correo electrónico, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Páginas web",Muy satisfecho,No,No,70.0,70.0,8
48,Más de 5 años,50,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,Radios,"Visitas personales, Llamadas telefónicas",Visitas personales,Muy satisfecho,No,No,60.0,80.0,8
49,Más de 5 años,60,1 vez a la semana,Efectivo,No,No,Radios,Llamadas telefónicas,Visitas personales,Muy satisfecho,No,Sí,50.0,30.0,10
50,Más de 5 años,150,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,Radios,Mensajes de texto,Visitas personales,Algo satisfecho,No,No,100.0,120.0,6
51,Entre 1 y 3 años,60,2 veces al mes,Efectivo,No,No,Radios,"Llamadas telefónicas, Mensajes de texto",Visitas personales,Muy satisfecho,No,No,30.0,60.0,7
52,Entre 1 y 3 años,120,2 veces al mes,Efectivo,No,No,Radios,Llamadas telefónicas,Visitas personales,Muy satisfecho,No,Sí,25.0,20.0,1
53,Entre 1 y 3 años,500,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,Radios,Llamadas telefónicas,"Visitas personales, Llamadas telefónicas",Muy satisfecho,Sí,No,30.0,30.0,9
54,Entre 0 y 6 meses,2,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Correo electrónico","Visitas personales, Páginas web",Muy satisfecho,Sí,No,10.0,15.0,5
55,Entre 3 y 5 años,200,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,Terminal para el pago con tarjeta,"Visitas personales, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,No,No,50.0,70.0,5
56,Más de 5 años,120,Na,Efectivo,No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Visitas personales, Na",Visitas personales,Muy insatisfecho,No,Sí,10.0,10.0,3
57,Entre 0 y 6 meses,30,1 vez a la semana,"Efectivo, Transferencia",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Visitas personales, Llamadas telefónicas",Visitas personales,Muy insatisfecho,No,No,11.0,15.0,6
58,Más de 5 años,40,2 veces a la semana,Efectivo,No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)",Llamadas telefónicas,Visitas personales,Algo satisfecho,No,Sí,15.0,20.0,8
59,Entre 6 meses y un año,100,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)",Llamadas telefónicas,"Visitas personales, Llamadas telefónicas",Muy insatisfecho,No,Sí,4.0,5.0,8
60,Entre 3 y 5 años,500,1 vez al día,Efectivo,No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)",Visitas personales,"Visitas personales, Llamadas telefónicas",Algo satisfecho,Sí,Sí,20.0,30.0,4
61,Entre 6 meses y un año,100,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta",Llamadas telefónicas,Visitas personales,Algo satisfecho,Sí,Sí,30.0,70.0,7
62,Entre 1 y 3 años,60,1 vez al mes,Efectivo,No,Sí,"Redes sociales (Instagram, X, entre otras)",Llamadas telefónicas,"Visitas personales, Mensajes de texto",Algo satisfecho,No,No,5.0,15.0,9
63,Entre 3 y 5 años,10,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago, Transferencia",Sí,No,"Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)","Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,10.0,15.0,10
64,Entre 1 y 3 años,15,Tiene pero no viene,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Llamadas telefónicas, Mensajes de texto, Correo electrónico, Redes sociales (Facebook, Instagram, otros)","Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,No,No,2.0,2.0,9
65,Entre 3 y 5 años,30,1 vez al mes,"Efectivo, transferencias",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta",Llamadas telefónicas,Visitas personales,Muy satisfecho,No,Sí,50.0,40.0,8
66,Entre 0 y 6 meses,3,3 veces por semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,Sí,No,15.0,20.0,9
67,Más de 5 años,10,2 veces a la semana,Efectivo,No,No,Na,Llamadas telefónicas,Visitas personales,Muy satisfecho,No,Sí,10.0,15.0,9
68,Entre 3 y 5 años,100,1 vez a la semana,Efectivo,Sí,Sí,Plataformas de pedidos en línea,"Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,Sí,El gobierno no permite avanzar al negocio ,10.0,15.0,9
69,Más de 5 años,600,2 veces al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,Plataformas de pedidos en línea,"Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Páginas web",Muy satisfecho,Sí,No,33.6,100.0,8
70,Más de 5 años,6,No realiza pedidos,Efectivo,No,No,Plataformas de pedidos en línea,No cuenta ,Visitas personales,Muy satisfecho,No,Sí,1.0,30.0,2
71,Más de 5 años,10,1 vez a la semana,"Efectivo, Transferencia ",No,No,Plataformas de pedidos en línea,Visitas personales,Visitas personales,Algo satisfecho,Sí,Sí,15.0,10.0,9
72,Entre 3 y 5 años,60,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,Plataformas de pedidos en línea,"Mensajes de texto, Software o plataformas compartidas","Llamadas telefónicas, Software o plataformas compartidas",Algo satisfecho,Sí,No,8.0,16.0,8
73,Entre 3 y 5 años,60,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,Plataformas de pedidos en línea,"Mensajes de texto, Software o plataformas compartidas","Llamadas telefónicas, Software o plataformas compartidas",Algo satisfecho,Sí,No,8.0,16.0,8
74,Entre 3 y 5 años,35,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,Plataformas de pedidos en línea,"Visitas personales, Llamadas telefónicas",Visitas personales,Algo satisfecho,Sí,Sí,12.0,20.0,8
75,Entre 3 y 5 años,10,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, Transferencia",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros), Páginas web","Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,Sí,Sí,12.0,15.0,8
76,Más de 5 años,300,2 veces a la semana,Efectivo,No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Algo satisfecho,No,Sí,60.0,1.0,5
